location,technology,time_step,availability
BEL,SunPV,934,0
BEL,SunPV,935,0
BEL,SunPV,936,0
BEL,SunPV,937,0
BEL,SunPV,938,0
BEL,SunPV,939,0
BEL,SunPV,940,0
BEL,SunPV,941,0
BEL,SunPV,942,0
BEL,SunPV,943,0
BEL,SunPV,944,0
BEL,SunPV,945,0.032
BEL,SunPV,946,0.074
BEL,SunPV,947,0.097
BEL,SunPV,948,0.084
BEL,SunPV,949,0.065
BEL,SunPV,950,0.056
BEL,SunPV,951,0.037
BEL,SunPV,952,0.022
BEL,SunPV,953,0.005
BEL,SunPV,954,0
BEL,SunPV,955,0
BEL,SunPV,956,0
BEL,SunPV,957,0
BEL,SunPV,958,0
BEL,SunPV,959,0
BEL,SunPV,960,0
BEL,SunPV,961,0
BEL,SunPV,962,0
BEL,SunPV,963,0
BEL,SunPV,964,0
BEL,SunPV,965,0
BEL,SunPV,966,0
BEL,SunPV,967,0
BEL,SunPV,968,0
BEL,SunPV,969,0.033
BEL,SunPV,970,0.052
BEL,SunPV,971,0.055
BEL,SunPV,972,0.05
BEL,SunPV,973,0.054
BEL,SunPV,974,0.045
BEL,SunPV,975,0.031
BEL,SunPV,976,0.024
BEL,SunPV,977,0.007
BEL,SunPV,978,0
BEL,SunPV,979,0
BEL,SunPV,980,0
BEL,SunPV,981,0
BEL,SunPV,982,0
BEL,SunPV,983,0
BEL,SunPV,984,0
BEL,SunPV,985,0
BEL,SunPV,986,0
BEL,SunPV,987,0
BEL,SunPV,988,0
BEL,SunPV,989,0
BEL,SunPV,990,0
BEL,SunPV,991,0
BEL,SunPV,992,0
BEL,SunPV,993,0.04
BEL,SunPV,994,0.069
BEL,SunPV,995,0.09
BEL,SunPV,996,0.158
BEL,SunPV,997,0.199
BEL,SunPV,998,0.283
BEL,SunPV,999,0.278
BEL,SunPV,1000,0.189
BEL,SunPV,1001,0.051
BEL,SunPV,1002,0
BEL,SunPV,1003,0
BEL,SunPV,1004,0
BEL,SunPV,1005,0
BEL,SunPV,1006,0
BEL,SunPV,1007,0
BEL,SunPV,1008,0
BEL,SunPV,1009,0
BEL,SunPV,1010,0
BEL,SunPV,1011,0
BEL,SunPV,1012,0
BEL,SunPV,1013,0
BEL,SunPV,1014,0
